id,datetime,T_HR_AVG,SOLARAD-W/m^2,HouseId,solarPanelMq,wattConsumption
0,2015-12-31 02:00:00,-8.4,0,1,10,445.9144442869452
1,2016-12-01 02:00:00,-3.9,0,1,10,367.61610289597485
2,2016-12-01 02:00:00,-5.1,0,1,10,339.4556411450552
3,2016-12-08 02:00:00,-20.4,0,1,10,599.8374608972863
4,2016-12-08 02:00:00,-21.1,0,1,10,526.2358239210314
5,2016-12-15 02:00:00,-19.0,0,1,10,520.1216411162677
6,2016-12-15 02:00:00,-14.7,0,1,10,484.1891200196829
7,2016-12-22 02:00:00,-7.6,0,1,10,392.6631442948195
8,2016-12-22 02:00:00,-3.6,0,1,10,323.26176842275186
9,2016-12-29 02:00:00,-10.0,0,1,10,402.5837920182704
10,2016-12-29 02:00:00,-3.7,0,1,10,384.2458166922597
11,2015-12-31 18:00:00,-7.8,0,1,10,1003.318047162368
12,2016-12-01 18:00:00,-3.7,0,1,10,955.932754892186
13,2016-12-08 18:00:00,-21.0,0,1,10,1126.276152079992
14,2016-12-15 18:00:00,-14.4,0,1,10,1050.5207261581543
15,2016-12-22 18:00:00,-3.9,0,1,10,971.389676072033
16,2016-12-29 18:00:00,-9.5,0,1,10,1035.8077575202599
17,2015-12-31 19:00:00,-9.0,0,1,10,1957.580643582836
18,2016-12-01 19:00:00,-3.8,0,1,10,1805.4075058845483
19,2016-12-08 19:00:00,-21.0,0,1,10,2024.642864454823
20,2016-12-15 19:00:00,-14.6,0,1,10,1946.171233472768
21,2016-12-22 19:00:00,-6.6,0,1,10,1847.017842822102
22,2016-12-29 19:00:00,-10.2,0,1,10,1908.9886220219714
23,2015-12-31 21:00:00,-6.6,0,1,10,1620.6600740153046
24,2016-12-01 21:00:00,-4.0,0,1,10,1619.435464911964
25,2016-12-08 21:00:00,-22.4,0,1,10,1802.92617242493
26,2016-12-15 21:00:00,-14.9,0,1,10,1705.147327973245
27,2016-12-22 21:00:00,-8.0,0,1,10,1699.3793930238073
28,2016-12-29 21:00:00,-9.3,0,1,10,1655.058348118719
29,2015-12-31 22:00:00,-5.6,0,1,10,1121.7891025675224
30,2016-12-01 22:00:00,-4.1,0,1,10,1078.2568674568656
31,2016-12-08 22:00:00,-21.5,0,1,10,1292.003134676636
32,2016-12-15 22:00:00,-14.9,0,1,10,1229.028167218874
33,2016-12-22 22:00:00,-8.5,0,1,10,1122.1087636498598
34,2016-12-29 22:00:00,-8.5,0,1,10,1156.9502103435575
35,2015-12-31 23:00:00,-5.6,0,1,10,824.0792176115331
36,2016-12-01 23:00:00,-4.2,0,1,10,830.6872903498216
37,2016-12-08 23:00:00,-21.9,0,1,10,1012.1255902176135
38,2016-12-15 23:00:00,-14.8,0,1,10,910.9062398753698
39,2016-12-22 23:00:00,-8.7,0,1,10,831.1475155189835
40,2016-12-29 23:00:00,-6.4,0,1,10,863.2997705833214
41,2016-12-01 01:00:00,-4.9,0,1,10,333.642549796931
42,2016-12-01 01:00:00,-4.5,107,1,10,259.3363919952569
43,2016-12-08 01:00:00,-19.9,0,1,10,579.9418282938312
44,2016-12-08 01:00:00,-19.8,105,1,10,444.5870437417037
45,2016-12-15 01:00:00,-15.0,100,1,10,352.9993327977003
46,2016-12-15 01:00:00,-20.2,0,1,10,569.776568782599
47,2016-12-22 01:00:00,-3.6,0,1,10,424.72657912249565
48,2016-12-22 01:00:00,-3.1,202,1,10,103.09174507774566
49,2016-12-29 01:00:00,-3.5,0,1,10,399.05312775114714
50,2016-12-29 01:00:00,-5.1,206,1,10,175.05433715799734
51,2016-12-01 03:00:00,-5.1,0,1,10,359.35182507300686
52,2016-12-08 03:00:00,-20.8,0,1,10,521.6483781913091
53,2016-12-15 03:00:00,-20.2,0,1,10,548.8780847000729
54,2016-12-22 03:00:00,-3.7,0,1,10,351.11896575831514
55,2016-12-29 03:00:00,-4.2,0,1,10,334.61370792689513
56,2016-12-01 04:00:00,-5.2,0,1,10,310.778635341475
57,2016-12-08 04:00:00,-20.8,0,1,10,537.3606042777747
58,2016-12-15 04:00:00,-20.4,0,1,10,511.7158600022615
59,2016-12-22 04:00:00,-3.4,0,1,10,387.58746196983725
60,2016-12-29 04:00:00,-5.1,0,1,10,341.49856887281874
61,2016-12-01 05:00:00,-5.2,0,1,10,322.41698921822115
62,2016-12-08 05:00:00,-20.1,0,1,10,573.8801053165192
63,2016-12-15 05:00:00,-19.2,0,1,10,495.2397458172951
64,2016-12-22 05:00:00,-3.1,0,1,10,348.6305361609796
65,2016-12-29 05:00:00,-5.9,0,1,10,337.3883744077422
66,2016-12-01 06:00:00,-5.3,0,1,10,378.35248298963853
67,2016-12-08 06:00:00,-19.6,0,1,10,520.0176557978873
68,2016-12-15 06:00:00,-17.8,0,1,10,541.9348445738509
69,2016-12-22 06:00:00,-3.8,0,1,10,319.3529086985685
70,2016-12-29 06:00:00,-6.0,0,1,10,465.33756448585314
71,2016-12-01 07:00:00,-5.3,0,1,10,1054.067877460201
72,2016-12-08 07:00:00,-19.9,0,1,10,1216.2130008675692
73,2016-12-15 07:00:00,-16.8,0,1,10,1170.4844288698673
74,2016-12-22 07:00:00,-4.4,0,1,10,1028.9950700575082
75,2016-12-29 07:00:00,-5.9,0,1,10,1085.9400486599054
76,2016-12-01 08:00:00,-5.3,2,1,10,1158.3142068857549
77,2016-12-08 08:00:00,-20.6,1,1,10,1334.3235081723076
78,2016-12-15 08:00:00,-16.3,0,1,10,1268.672774681168
79,2016-12-22 08:00:00,-5.5,4,1,10,1259.3730968696095
80,2016-12-29 08:00:00,-5.8,4,1,10,1204.7769087919883
81,2016-12-01 09:00:00,-5.0,38,1,10,762.7506398983455
82,2016-12-08 09:00:00,-20.4,35,1,10,894.8246407029086
83,2016-12-15 09:00:00,-15.5,37,1,10,918.5966482604126
84,2016-12-22 09:00:00,-5.0,86,1,10,719.884527378186
85,2016-12-29 09:00:00,-5.8,88,1,10,716.9515809027394
86,2016-12-01 12:00:00,-3.8,141,1,10,735.9706012608522
87,2016-12-08 12:00:00,-18.9,221,1,10,880.4259363424486
88,2016-12-15 12:00:00,-14.2,123,1,10,957.736420365261
89,2016-12-22 12:00:00,0.3,340,1,10,596.0253839952272
90,2016-12-29 12:00:00,-3.7,350,1,10,627.7936988709353
91,2016-12-01 13:00:00,-3.7,109,1,10,595.5745453770602
92,2016-12-08 13:00:00,-19.0,236,1,10,673.2348443112605
93,2016-12-15 13:00:00,-13.4,156,1,10,719.9349904535195
94,2016-12-22 13:00:00,1.6,333,1,10,344.75498130906027
95,2016-12-29 13:00:00,-3.3,345,1,10,374.18756658298037
96,2016-12-01 14:00:00,-3.6,97,1,10,637.727949339867
97,2016-12-08 14:00:00,-19.0,156,1,10,718.7552154821401
98,2016-12-15 14:00:00,-12.5,151,1,10,685.9891995744701
99,2016-12-22 14:00:00,2.0,274,1,10,400.4652694016277
100,2016-12-29 14:00:00,-4.4,288,1,10,444.19082883757966
101,2016-12-01 15:00:00,-3.4,51,1,10,732.8709351946507
102,2016-12-08 15:00:00,-18.9,149,1,10,810.9686008398166
103,2016-12-15 15:00:00,-12.3,99,1,10,810.3144931206189
104,2016-12-22 15:00:00,1.7,175,1,10,576.6631473995543
105,2016-12-29 15:00:00,-4.4,187,1,10,603.9682904454451
106,2016-12-01 16:00:00,-3.4,8,1,10,743.5063191934897
107,2016-12-08 16:00:00,-19.5,45,1,10,914.1557758170377
108,2016-12-15 16:00:00,-13.5,9,1,10,927.1702484745335
109,2016-12-22 16:00:00,0.1,53,1,10,687.6308793643866
